NAME,POSITION,JERSEYNUMBER,CLASS,WEIGHT,HOMETOWN,OVERALLRANK,POSITIONRANK,SUMMARY,OVERALLGRADE,HEIGHT,TEAM
"Grayson Murphy","ED",12,"5-Year Junior",251,"Dallas, TX",228,21,"Murphy is a long athlete with good short-area quickness, but he will need to develop a secondary maneuver and strength at the point of attack to be a solid contributor at the next level.","5.8","6'2","UCLA"
"Johnny Wilson","TE",14,"4-Year Junior",231,"Pacoima, CA",229,13,"Wilson is a likely receiver-turned-tight end due to a lack of burst and separation skills who brings the competitiveness and receiving ability to transition into a backup H-TE with starting upside.","5.8","6'6","Florida State"
"Christian Rolland-Wallace","CB",17,"5-Year Senior",201,"Palmdale, CA",230,31,"Roland-Wallace has the filled-out frame, physicality, and toughness teams covet in a cornerback, although his mental lapses and struggles to snuff out open space will force him to fight for an NFL roster spot.","5.8","6'0","USC"
"Ryan Cooper Jr.","CB",1,"4-Year Junior",184,"San Jose, CA",231,32,"Cooper is a smart slot corner who could see time in Dime packages early on, but a lack of long speed, suspect tackling ability, and insufficient technique down the field may hurt his chances at seeing more playing time.","5.8","5'11","Oregon State"
"Dominique Hampton","S",7,"6-Year Senior",215,"Glendale, AZ",232,16,"Hampton possesses the cover skills, physicality, and versatility to play multiple safety roles, but his lack of impact plays, route discipline, and consistent tackling form will relegate him to a backup role at the next level.","5.8","6'2","Washington"
"Devin Culp","TE",83,"6-Year Senior",231,"Spokane, WA",233,14,"Culp is a reliable blocker, but he has limitations as a receiver due to his inconsistent hands, difficulties creating separation, and lack of explosive plays which will leave him in a backup role.","5.8","6'3","Washington"
"Logan Lee","DT",85,"5-Year Junior",281,"Orion, IL",234,18,"Lee is a high motor interior defender with fluid athleticism and good upper-body strength, but his limited pass rush juice and inconsistency anchoring on the interior will hold him to being a backup-level player.","5.8","6'5","Iowa"
"Tyrice Knight","MIKE",10,"6-Year Senior",233,"Lakeland, FL",235,11,"Knight has the sure-tackling ability and range to make an impact on running downs, but poor diagnosis in traffic, a lack of elite change of direction, and a limited coverage impact will result in him becoming a special teams player at the NFL level.","5.8","6'1","UTEP"
"Nelson Ceaser","ED",9,"5-Year Junior",254,"Missouri City, TX",236,22,"Ceaser is a strong, athletic, slightly-undersized EDGE who uses good hand use and a hot motor to make plays, but a high pad level, a lack of block shedding consistency, and limited pass rush refinement slot him in as a backup early in his career.","5.8","6'3","Houston"
"Sam Hartman","QB",10,"6-Year Senior",211,"Charlotte, NC",237,12,"Hartman is an experienced college QB who could move an NFL offense with quick, short throws, but his deficiencies in seeing the whole field and making deep throws accurately will limit him to a backup role.","5.8","6'1","Notre Dame"
"Tip Reiman","TE",89,"4-Year Junior",271,"Rapid City, SD",238,15,"Reiman is a big-bodied player with good play strength who can be a valuable run blocker, and if he can weaponize his natural athleticism into a reliable receiving threat, he can develop into a solid all-around tight end.","5.8","6'5","Illinois"
"Devin Leary","QB",13,"6-Year Senior",215,"Sicklerville, NJ",239,13,"Leary is a tough quarterback who has the arm strength and leadership ability to give himself a chance at the next level, but his lack of spot-on accuracy, eye discipline, and decision making may make it tough for him to be more than a career backup.","5.8","6'1","Kentucky"
"Lideatrick Griffin","WR",5,"4-Year Junior",181,"Philadelphia, MS",240,31,"While Griffin lacks the ideal size and consistent hands at the position, his speed, quickness, and special teams playmaking ability can be valuable to a wide receiver room at the next level.","5.8","5'10","Mississippi State"
"Austin Stogner","TE",81,"5-Year Senior",255,"Plano, TX",241,16,"Stogner is a versatile, smart, and tough blocking tight end with sufficient hands, but will need to get stronger, improve his separation skills, and become a more nuanced route runner to develop into more than just a run-blocking backup.","5.8","6'6","Oklahoma"
"Eyabi Okie-Anoma","ED","","6-Year Senior",260,"Baltimore, MD",242,23,"Okie-Anoma is an explosive and powerful edge rusher who is willing to go around, or directly through, opposing blockers, but his struggles with play recognition and discipline will limit him to a backup role.","5.8","6'5","Charlotte"
"Kamal Hadden","CB",5,"5-Year Senior",196,"River Rouge, MI",243,33,"Hadden has some athletic tools, length, and ball skills to contribute as a corner, but he needs to improve his hip fluidity, awareness in zone coverage, and tackling ability in order to be more than a middle-of-the-road backup at the next level.","5.8","6'1","Tennessee"
"Zion Tupuola-Fetui","ED",4,"6-Year Senior",244,"Pearl City, HI",244,24,"Tupuola-Fetui is a tough, high-effort edge with sufficient athleticism that will need to improve his hand usage to be anything more than a special teams player in the NFL.","5.8","6'3","Washington"
"Isaiah Williams","WR",1,"5-Year Junior",182,"St. Louis, MO",245,32,"Williams is a slightly-undersized but dynamic playmaker whose quickness and instincts should allow him to carve a role out as long as he can clean up some concentration drops.","5.8","5'9","Illinois"
"Devaughn Vele","WR",17,"5-Year Junior",203,"San Diego, CA",246,33,"Vele is a big receiver who is a release technician with strong hands, but the lack of deep speed and consistent separation will limit him to being a depth receiver.","5.8","6'4","Utah"
"Ryan Watts","S",6,"4-Year Junior",208,"Little Elm, TX",247,17,"Watts is a big, physical corner who projects best as a safety due to his strong run support and punishing demeanor, and a lack of deep speed, ball skills, and hip fluidity.","5.8","6'3","Texas"
"Jalyx Hunt","ED",13,"5-Year Senior",252,"DeBary, FL",248,25,"Hunt is a raw, athletic edge rusher with ideal size, length, and room to build his strength, but he will need to fully develop his pass rush abilities and anchor against the run to see the field consistently.","5.8","6'4","Houston Christian"
"Xavier Weaver","WR",10,"5-Year Senior",169,"Orlando, FL",249,34,"Weaver has some suddenness in his release and first-level routes, but his very slender frame, struggles handling physicality, and inability to consistently separate down the field will limit him to a backup role early in his career.","5.8","6'0","Colorado"
"David Ugwoegbu","MIKE",12,"5-Year Senior",250,"Katy, TX",250,12,"Ogwoegbu is an athletic, speedy, and rangy linebacker who should contribute on special teams and as a backup on defense as he develops his instincts, shed ability, and consistency rushing the passer.","5.8","6'4","Houston"
"Jordan Magee","WILL",6,"5-Year Junior",228,"Dover, DE",251,8,"Magee’s athleticism, leadership, and zone coverage skills will allow him to serve as a backup, but he will need to work on his inability to shed blocks and play recognition if he wants to see the field more.","5.8","6'1","Temple"
"Beau Brade","S",2,"4-Year Junior",203,"Clarksville, MD",252,18,"Brade is a physical safety who shows up all over the field, but needs to vastly improve his tackling and man coverage ability to be more than a depth-level option and primary special teamer.","5.8","6'0","Maryland"
"Trey Taylor","S",7,"5-Year Senior",213,"Frisco, TX",253,19,"Taylor is a high-FBI safety who possesses good leadership qualities and ball skills, but limited acceleration out of his backpedal and lapses in zones will limit him to a backup role and special teams contributor at the next level.","5.8","6'1","Air Force"
"Justin Rogers","NT",52,"4-Year Junior",330,"Detroit, MI",254,4,"Rogers is a massive obstacle along the interior of the defense who can control the POA with his play strength, but his lack of pass rush juice will limit him to being an early-down only backup.","5.8","6'3","Auburn"
"Trey Knox","TE",1,"5-Year Senior",240,"Murfreesboro, TN",255,17,"Knox is a WR-turned-TE who has the route running ability, catch radius, and competitiveness as a blocker to produce at the next level, but he’ll need to improve his blocking ability and overall play strength to be more than a backup.","5.8","6'3","South Carolina"
"Emory Jones","QB",5,"6-Year Senior",212,"La Grange, GA",256,14,"Jones is an experienced quarterback who has very good athleticism and a strong arm, but will be limited in his role due to his deep ball inaccuracy, poor decision making, and inconsistent footwork.","5.8","6'3","Cincinnati"
"Zion Logue","DT",96,"5-Year Junior",314,"Lebanon, TN",257,19,"Logue has the size, strength, and awareness to be a solid rotational defensive lineman at the next level, but he needs to work on his body control and pass rush ability to reach his full potential.","5.8","6'6","Georgia"
"Jamree Kromah","DT",9,"6-Year Senior",271,"Glenarden, MD",258,20,"Kromah is a power-centered interior player who has a history of production, but his limited athletic profile, struggles with body control, and lack of counter moves will leave him fighting for a roster spot at the next level.","5.8","6'3","James Madison"
"Alex Johnson","S",36,"6-Year Senior",190,"Carson, CA",259,20,"Johnson has instincts and a high-level understanding of coverage responsibilities, but his lack of elite athletic traits and below-average play strength will prevent him from being a reliable every-down player.","5.8","6'0","UCLA"
"Jaden Crumedy","DT",94,"6-Year Senior",301,"Hattiesburg, MS",260,21,"Crumedy has a decent blend of athleticism and size and can be a scheme versatile run defender, but his lack of pass rush ability will limit his overall impact as a three-down interior defender.","5.8","6'4","Mississippi State"
"Jack Plummer","QB",13,"6-Year Senior",216,"Gilbert, AZ",261,15,"Plummer is an ideally-built quarterback with a good deep ball and a lot of experience, but he will be limited due to a lack of playmaking and off-script ability when facing pressure.","5.8","6'4","Louisville"
"Steele Chambers","WILL",22,"5-Year Junior",226,"Roswell, GA",262,9,"Chambers is an athletic linebacker who plays with a good motor and has the chance to make his name known as a special teamer early in his career while his instincts at the linebacker position still continue to grow.","5.8","6'1","Ohio State"
"Kedon Slovis","QB",10,"5-Year Senior",223,"Scottsdale, AZ",263,16,"Slovis is an experienced pocket passer who looks the part, hangs tough in the pocket, and delivers a pretty deep ball, but lacks the spot-on accuracy, decision making, and ability to produce under pressure in order to be a starter at the next level.","5.8","6'3","BYU"
"Jaxen Turner","S",2,"5-Year Senior",210,"Moreno Valley, CA",264,21,"Turner possesses the ball skills and field awareness to cover the back end of the defense, but his limitations in man and inconsistent tackling form will limit him to mostly a special teams contributor.","5.8","6'1","UNLV"
"Solomon Byrd","ED",51,"6-Year Senior",255,"Palmdale, CA",265,26,"Byrd will need to show that his toughness, strength, and heavy hands are enough to outweigh his limited athletic profile and pass rushing abilities to warrant a roster spot in the NFL.","5.8","6'3","USC"
"Taylor Upshaw","ED",11,"6-Year Senior",254,"Bradenton, FL",266,27,"Upshaw is a stout EDGE who may struggle to stick on a roster due to his limited athleticism, issues winning one-on-one battles, and lack of pass rushing moves.","5.8","6'3","Arizona"
"Tanner Mordecai","QB",8,"6-Year Senior",218,"Waco, TX",267,17,"Mordecai has the accuracy and arm strength to push the ball at all three levels, but he will need to clean up his accuracy inconsistencies if he wants to be more than a backup at the next level.","5.8","6'2","Wisconsin"
"Carter Bradley","QB",2,"6-Year Senior",213,"Jacksonville, FL",268,18,"Bradley is an experienced quarterback, but his mediocre decision making and inconsistent accuracy will prevent him from being an NFL starter.","5.8","6'3","South Alabama"
"Brian Dooley","OT",77,"5-Year Senior",313,"Bowling Green, OH",269,25,"Dooley is a highly-experienced and tough backup right tackle with light feet and a knack for creating movement in the run game who will need to do major work on his flexibility in order to be more than a backup at the next level.","5.8","6'5","Eastern Michigan"
"Ron Stone Jr.","ED",10,"6-Year Senior",247,"San Jose, CA",270,28,"Stone is an explosive, experienced, and intelligent edge rusher who could make an early impact in the rotation if he’s put in a system that plays to his strengths.","5.8","6'3","Washington State"
"Nyles Gaddy","ED",21,"6-Year Senior",248,"Nashville, TN",271,29,"Gaddy is a disciplined, long-limbed EDGE who uses his length and good hand use to win battles, but a lack of twitch and consistent pass rush ability relegate him to being a rotational defender at the next level.","5.8","6'3","Missouri"
"Eric Watts","ED",95,"5-Year Senior",274,"Sumter, SC",272,30,"Watts is a lengthy rusher with a good punch who has all the measurables NFL teams look for, but will need to improve his discipline, core strength, and motor/cardio in order to be more than a middle-of-the-road backup.","5.8","6'6","UConn"
"Khalid Duke","ED",29,"5-Year Junior",246,"Atlanta, GA",273,31,"Duke is a disciplined EDGE who plays with a high motor and good first-step explosion, but his underwhelming ability as a pass rusher and inconsistency as a tackler slot him in as a backup defender and primary special teamer.","5.8","6'3","Kansas State"
"Jaheim Bell","TE",6,"4-Year Junior",241,"Lake City, FL",274,18,"Bell is a versatile H/FB prospect whose strong RAC and special teams ability make him coveted on rosters, but his lack of prototypical size, strength, and overall blocking ability limit him to being a backup on offense.","5.8","6'2","Florida State"
"Ryan Flournoy","WR",1,"6-Year Senior",202,"Hazelcrest, IL",275,35,"Flournoy is a sure-handed receiver with tenacity and the contested catch ability to be a solid wide receiver at the next level, but his separation ability and lack of chunk plays will likely limit his impact to a depth role.","5.8","6'1","Southeast Missouri State"
"Kalen DeLoach","WILL",4,"5-Year Senior",211,"Savannah, GA",276,10,"DeLoach has heart as an undersized but enthusiastic communicator who can make an impact in coverage, as a blitzer, and on special teams, but his slow processing speed and lack of stack-and-shed ability limit how much he can contribute on defense.","5.8","6'0","Florida State"
"Shyheim Battle","CB",7,"5-Year Junior",195,"Rocky Mount, NC",277,34,"Battle plays with good underneath zone instincts and explosive closing speed, but he lacks the down-the-field ball skills, deep speed, and play strength to be more than a depth corner.","5.8","6'2","NC State"
"Storm Duck","CB",29,"5-Year Senior",201,"Boiling Springs, NC",278,35,"Duck is a lengthy, experienced corner who is at his best near the LOS in press where he can get physical or back in zone coverage to mask his average athleticism and lack of COD skills.","5.8","6'0","Louisville"
"A.J. Woods","CB",9,"5-Year Senior",186,"Germantown, MD",279,36,"Woods is an undersized corner who brings some physicality, run support, and strong zone skills, but a lack of size, deep speed, ball skills, and tackle consistency make him a deep backup and potential special teamer at the next level.","5.8","5'10","Pittsburgh"
"Michael Barrett","WILL",23,"6-Year Senior",233,"Valdosta, GA",280,11,"Barrett is an experienced player who shows good coverage ability, but his frame and ability to take on blocks in the run game will be an uphill battle at the next level.","5.8","5'11","Michigan"
"Levelle Bailey","WILL",6,"5-Year Senior",226,"Sacramento, CA",281,12,"Bailey is a rangy, athletic coverage linebacker that plays downhill quickly and tackles well, but needs to develop his strength and shedding abilities to see the field consistently at the next level.","5.8","6'2","Fresno State"
"Anthony Gould","WR",2,"5-Year Junior",174,"Leavenworth, KS",282,36,"Gould is an undersized receiver with questionable hands, limited playmaking production, and issues with physicality, but his speed, burst, and return ability leave the door open for a bottom-of-the-roster spot.","5.8","5'8","Oregon State"
"Reddy Steward","CB",2,"5-Year Senior",176,"Decatur, AL",283,37,"Steward is a natural ballhawk who had success as a shallow zone cornerback, but his reactive footwork, lack of versatility, and grabbiness will limit his appeal to NFL teams.","5.8","5'11","Troy"
"Phillip Brooks","WR",8,"6-Year Senior",171,"Lee's Summit, MO",284,37,"Brooks has the route running, run after catch, and dynamic return abilities to find a role at the next level, but his lack of size and inability to separate against bigger defenders will cap his ceiling as a return man and depth-level receiver.","5.8","5'7","Kansas State"
"Erik Brooks","WR",3,"6-Year Senior",171,"Corona, CA",285,38,"Brooks is a twitchy, precise route runner that has the speed to stretch the defense vertically and horizontally, but his lack of size and occasional drops will limit him to a backup role at the next level.","5.8","5'7","Fresno State"
"Sidney Houston Jr.","ED",8,"5-Year Senior",246,"Cohokia, IL",286,32,"Houston is an athletic, high-motor EDGE who uses his quickness and relentless pursuit to get to the ball, but his small size and lack of stoutness will limit him to being a rotational edge rusher at the next level with good special teams upside.","5.8","6'1","Ball State"
"Fabien Lovett","DT","","4-Year Junior",314,"Vicksburg, MS",287,22,"Lovett is a long defensive tackle prospect who possesses violent hands, but his lack of pass rushing impact and lateral stoutness will limit him to a bench role early in his career.","5.8","6'4","Florida State"
"Ro Torrence","CB",9,"5-Year Junior",208,"Bessemer, AL",288,38,"Torrence is a cornerback who excels in press coverage due to his length, and although he flashes some raw potential, his technique will need refinement in order for him to see the field consistently.","5.8","6'3","Arizona State"
"Taulia Tagovailoa","QB",3,"5-Year Senior",200,"Ewa Beach, HI",289,19,"Tagovailoa has the bloodlines and natural ability to make plays at the next level, but his short stature, poise under pressure, and lack of NFL-caliber arm strength could see him as a career backup at the next level.","5.8","5'10","Maryland"
"Drake Stoops","WR",12,"6-Year Senior",186,"Norman, OK",290,39,"Stoops is an undersized, sure-handed, savvy slot receiver, but his struggles with consistent separation and explosive playmaking abilities with the ball in his hands will limit his usage at the next level.","5.8","5'9","Oklahoma"
"Terrell Vaughn","WR","","4-Year Junior",175,"Oxnard, CA",291,40,"Vaughn has the speed and reliable hands to attack defenses through the seams, but his lack of size, separation abilities, and explosiveness after the catch will limit his usage at the next level.","5.8","5'7","Utah State"
"Dallas Gant","WILL",19,"6-Year Senior",224,"Toledo, OH",292,13,"Gant is an undersized linebacker prospect who has suspect instincts and shed ability, but his range and toughness will allow him to be a reserve Will linebacker with high special teams upside.","5.8","6'3","Toledo"
"Kingsley Eguakun","OC",65,"5-Year Junior",304,"Jacksonville, FL",293,9,"Eguakun is a very athletic center who excels in space and has the toughness to battle at the line of scrimmage, but will have to improve his strength and technique to compete for a starter role in the NFL.","5.7","6'4","Florida"
"Nathaniel Watson","MIKE",14,"6-Year Senior",233,"Maplesville, AL",294,13,"Watson is an experienced and rangy off-ball linebacker who is always around the football, but his limited coverage instincts and COD quickness will keep him as a backup-level player.","5.7","6'2","Mississippi State"
"Drake Nugent","OC",60,"5-Year Junior",298,"Lone Tree, CO",295,10,"Nugent is a smart and experienced center who shows promise as a zone-scheme run blocker, but his limited positional versatility, body control, and reactive athleticism will hold him to being a backup-level player in the league.","5.7","6'2","Michigan"
"X'Zauvea Gadlin","OC",73,"6-Year Senior",322,"Grand Prairie, TX",296,11,"Gadlin is a big-bodied interior lineman who possesses powerful hands and an ability to be scheme and positionally versatile, but slow hands, inconsistent leverage, and reactive footwork will be issues he has to remedy at the next level.","5.7","6'3","Liberty"
"Nick Samac","OC",59,"5-Year Senior",307,"Mentor, OH",297,12,"Samac is an interior mauler who delivers an effective initial punch and plays through the whistle, but his struggles with technique and body control in the passing game limit his potential effectiveness as a full-time starter in the middle.","5.7","6'4","Michigan State"
"Justin Dedich","OC",57,"6-Year Senior",295,"Temecula, CA",298,13,"Dedich is an experienced offensive line prospect who has the FBI teams desire, but his lack of size, limited athletic profile, and slow feet will make it hard for him to crack a starting lineup early in his NFL career.","5.7","6'2","USC"
"JD Bertrand","MIKE",27,"5-Year Junior",235,"Alpharetta, GA",299,14,"Bertrand plays with the FBI and effort that rallies his teammates, but athletic limitations and his lack of range may keep him from having an every-down role.","5.7","6'1","Notre Dame"
"Dylan McMahon","OC",54,"5-Year Junior",299,"Savannah, GA",300,14,"McMahon is an athletic center who uses footwork and awareness to excel on the interior, but a lack of size, length, strength, and power make him a backup one-position player at the next level.","5.7","6'3","NC State"
"Darius Muasau","MIKE",53,"5-Year Senior",225,"Ewa Beach, HI",301,15,"Muasau is an undersized Mike linebacker who lacks an elite trait and has tight hips, but his pursuit effort and plus blitz ability should allow him to compete for an NFL roster spot.","5.7","6'0","UCLA"
"Jackson Mitchell","MIKE",8,"5-Year Senior",230,"Ridgefield, CT",302,16,"Mitchell is a MLB who brings tackle production and zone awareness to the next level, but a lack of elite-level traits, athleticism, and stand-and-shed ability limit him to being a depth defender.","5.7","6'1","UConn"
"Jack Daly","NT","","5-Year Senior",318,"South Glastonbury, CT",303,5,"Daly’s quick burst and quick hands allow him to be a rotational option against the run, but lack of creativity rushing the passer and inconsistent shedding ability will limit his usage at the next level.","5.7","6'4","FIU"
"Sincere Haynesworth","OC",52,"5-Year Senior",305,"Pearland, TX",304,15,"Haynesworth plays with great tenacity and understands leverage, but his lack of size and athletic ability may keep him from a starter role at the next level.","5.7","6'1","Tulane"
"Popo Aumavae","NT",50,"7-Year Senior",302,"Stockton, CA",305,6,"Aumavae is a twitchy interior player who will struggle to see significant playing time due to his struggles with stoutness, finishing plays, and limited-impact plays.","5.7","6'3","Oregon"
"Jordan Miller","NT",6,"6-Year Senior",304,"Jacksonville, FL",306,7,"Miller is an old school, one-dimensional nose tackle with the requisite strength and power to play against the run, but if he does not improve his hand-fighting ability or develop a pass rush plan, he will be limited in what he can help a defensive line accomplish.","5.7","6'2","SMU"
"Evan Anderson","NT",8,"4-Year Junior",319,"West Orlando, FL",307,8,"Anderson lacks the true size, body control, or ability to handle double teams to be a regular contributor early on, but there are enough flashes to warrant consideration for a back-end roster spot.","5.7","6'1","Florida Atlantic"
"Frank Gore Jr.","RB",3,"4-Year Junior",199,"Miami, FL",308,27,"Gore is a tough, elusive runner with the ability to make plays against college defenses, but his small stature, small catch radius, struggles in pass protection, and limited deep speed will make it hard for him to carve out a consistent role at the next level.","5.6","5'7","Southern Miss"
"Kimani Vidal","RB",28,"4-Year Junior",213,"Marietta, GA",309,28,"Vidal is a tough running back who has displayed vision and patience as a high-volume collegiate workhorse, but his lack of top-end speed, big-play ability, and 3rd down appeal will leave him fighting for an NFL roster spot.","5.6","5'8","Troy"
